exchange_name,address,type
Binance,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,cold_wallet
Binance,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,cold_wallet
Binance,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,cold_wallet
Bitfinex,3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,cold_wallet
Bitfinex,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,cold_wallet
Kraken,bc1qu30560k5wc8jm58hwx3crlvlydc6vz78npce4z,cold_wallet
Kraken,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,cold_wallet
Coinbase,3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,cold_wallet
Coinbase,bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,cold_wallet
OKX,bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfl6t94,cold_wallet
OKX,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,cold_wallet
Bybit,bc1q7t9fxfaakmtk8pj7tdxjqwz0xj66k2dqusgv8w,cold_wallet
Binance,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,wallet
Binance,bc1qcgmpzx2pww9h3g9slxwzjqrztv7fy4t0lkye99,wallet
Binance,bc1qkcwwnsjtfp4snqyytxayjp9lctmj9z3ntcxaka,wallet
Binance,bc1q9um04kmt2ej5svsep9a7akvnckx3h6t3yqn8lh,wallet
Binance,bc1q3gvwrz86ull0p9hjs5k8sza3fpgfhsxhhz830x,wallet
Binance,bc1qaeav2hk5u2yn73st0fqkxp6zedefld6vyf04hz,wallet
Binance,bc1q4s0s7anxtydjmarh30p3xenm03h3c6k6qq7yzw,wallet
Binance,bc1q2r3snw3hyj9c6pc8ec5367dnfhhqzcy44jv9xs,wallet
Binance,bc1qe492vdgzwmlpgffgjjqgevwdf2ew257wqyex4s,wallet
Binance,bc1qqewsrjuue4kw9nkzff5v8fdd9qdc0cg3jllv6l,wallet
Binance,bc1qp2tm408z8mcdndw738mkyvudrspc5z56z29667,wallet
Binance,bc1q7vcewmnn0dh3kwkv2m3n6skrhmf60ch4e0j7ka,wallet
Binance,bc1q3h3yd4nuq3mgkdx38hephtqj5s84akl3emq9np,wallet
Binance,bc1q57z0d30nazzc84khpj69x4ajulv674sj2g9xjl,wallet
Binance,bc1qhf64z522aqc2mch79y3g74sc9yt5qzey7u0g4k,wallet
Binance,bc1qvk3rkrjepztn0ctk56n6gynjy7ysyx33hptdxx,wallet
Binance,bc1qaq4v5wfffquvcmj4he3786ex5vtxnt9p3p9kdu,wallet
Binance,bc1qdsrqvzfh2s330ggf7n9l86xkmxcjah3rhxu4k4,wallet
Binance,bc1quvzhed9dk6hh8y86kjptswwm32304jchps7xwr,wallet
Binance,bc1qvgv6e8jrp4ratrsudf7zv4ldq8gct88rjxt2g4,wallet
Binance,bc1q5s20mf5pj650dha28xngphq054ntxr4emqcqdg,wallet
Binance,bc1qdeu46k8hdg90ely7rgu69jkkhudwhmr26jgvde,wallet
Binance,bc1qjs8zg53hdyxd87q6pna9tdujapng44dkvezmp6,wallet
Binance,bc1qtaey3dn46n40vlarfzecjctsgah3qe7dj64szl,wallet
Binance,bc1qky0qpy7wnjp0k2v8zcrrvu0xnfpfrwdmx6vzpr,wallet
Binance,bc1ql42rmpvvq488tkqxvg8wmaa7j3jsrkxgnm8cy6,wallet
Binance,bc1qrqlasfl7xd2fmn3ws60jux3d45qn6wn04zg8fn,wallet
Binance,bc1q4dwch4fdvm80gtl3qeyen4u045gvkhzm63xkph,wallet
Binance,bc1qx3k93wzhypnxdhqev2ny0luz9jgtmg9wtlcuu4,wallet
Binance,bc1qkawz79pqpqxushk9y6sm7s3tlvhzaphrzmgake,wallet
Binance,bc1qfj5y20npey9eetya0dtl7999nxmsw8dcll5wzz,wallet
Binance,bc1qqun8lw74peex5earja2z2p08kkpnxg7xasagtl,wallet
Binance,bc1qka7eafakws6ngn0xura6mh4qvasa2wm5rvfmvv,wallet
Binance,bc1qvwuwy4sryvxdvrmjmg2l0vzas3ulq0u8fhxaka,wallet
Binance,bc1qgf0v6pkx43487a7w85n6sek35kpa8qv5auq9zx,wallet
Binance,bc1q93xsn520w7mmeupse4zede6n8w0n2j5vavp2hv,wallet
Binance,bc1q55kfgpkuycs6vl7ds0h20uupcv0gqala5c7ccz,wallet
Binance,bc1qxn7t6cakz5pccpxfylvx8vpnelwrcnv3uk5gp0,wallet
Binance,bc1qxkvkeyqngzv6xxyqt8qtdqahahc7l6cgn8vkca,wallet
Binance,bc1qd7ezu7jzq0zg87tnxy49p4wluxyuk5sknk0dq0,wallet
Binance,bc1q5cttlkm2dv6cxjsp364h2nn6cg372qgnyn9hum,wallet
Binance,bc1qmvjfxq0qq9rvfmcwfeqvmm9d9ghjp340klyzu5,wallet
Binance,bc1qh6jaracpxnap0559xrs7h9d5yp04fg8s9vhhu2,wallet
Binance,bc1qvx8q0yw4gufy9559e9v6q0udqkucfkpfl6rspr,wallet
Binance,bc1qwdcgc9eqag7rjvkcs0rql8pk6eu074h5e2rkat,wallet
Binance,bc1q858p27enlk68gyeemhlku0nn5u4atvqye9hj6x,wallet
Binance,bc1q2g0erlkvt93ftkxredq800y8p26xwtz3ft0zya,wallet
Binance,bc1qn0ddvc0um290y9g75880x8etm2r9qt8p7a09yw,wallet
Binance,bc1qxh2kuuswt952cxrd9sj82r2s97fpmff4pm7jwv,wallet
Binance,bc1qld3779yth832ny4g33ugt69ehc4rt85d6mrj39,wallet
Binance,bc1qurfpglnfy9q8vf3a7ykusnz8pwakfk3edtqkr9,wallet
Binance,bc1qnccqdf75pvzs3vv55aefpjh0mxtulk9upg372d,wallet
Binance,bc1q22hk8d84tepl5rzeg36z0687yxwe82m06qz9x4,wallet
Binance,bc1qyxzuhmxmg30yscttnkdkzt3jyyj9u8tlex746t,wallet
Binance,bc1qkkc3mucef3sya35nfyexwhqn5har93q7jck3qs,wallet
Binance,bc1qrjwar4knzv9jfrcs9jgxa4ytvgmsj6yppg7yht,wallet
Binance,bc1q6kut773rv6ru7428gaa4tzvyu90c94re9qfkg4,wallet
Binance,bc1q5xp4nv8hs45vz6cucmy4l2ytl749javppen46g,wallet
Binance,bc1qdkjg4h0ldxuree74uw6juccsv6w3uhuz959a8a,wallet
Binance,bc1q3wwhf0rnpd8m26ppfphyv88aum3d88ham6y4hq,wallet
Binance,bc1qk3kjt6wu4e89758xek8st5xyujc8jjdur6dpnc,wallet
Binance,bc1q9edkz505kk53w8v59n3qc4z0dq72g607tguj77,wallet
Binance,bc1qv5mkwef88lnjhp8zkkaul438hrur4mz9lfah9q,wallet
Binance,bc1qe6wdj4yqaf6vpuh9pupsh8lll3asnh3vyc4cqr,wallet
Binance,bc1quqjvpeuuvmf8q6nx7h6087r8cffxwr5w4s5vfv,wallet
Binance,bc1qrxh62n4n223825uwzyfhd2un6v95utdxv2mqtw,wallet
Binance,bc1q69c38c7vp6rzte60zxzxxs9sjyadjql06d750r,wallet
Binance,bc1q3cjvrzuw3e2pn9c47vk0myh50jm9vaxdptgdh6,wallet
Binance,bc1qdsvsnkklujzc3yypmdzjlz4luzxky73sxd3z47,wallet
Binance,bc1q8k5u74rcmfj7hqf9p00wlll0kvl7czx8lv04d8,wallet
Binance,bc1qzp47r6dtymluh9yj6g5pxlew3e2x0ce9er604z,wallet
Binance,bc1qec7prul3z72n7pr9yh7mdkdhyzjzufpfjnfdf2,wallet
Binance,bc1qelhymna82sdw5ku0acr8lz725y3avmuxup6t57,wallet
Binance,bc1qtu4zqemzmz4v70a0ldxaqvjuntfawcvrq0wv0p,wallet
Binance,bc1qm2pdc4y928yjuah8aw3ctddj526v57jzerrsu8,wallet
Binance,bc1q8xgduykwlueqz3aluc8tk53x6hqp5jz0uvevpn,wallet
Binance,bc1q0k4txl9sdq9q6e99l2lg7duzl9mvrcylcj3q23,wallet
Binance,bc1qmdr3j5pen9u4rp2pz7njp7twzq6l6knnmk7qdl,wallet
Binance,bc1qtcmpm3p4gkcr7hs4la4c2f2cc6zqtnkeseaexm,wallet
Binance,bc1qvmyjmkp4k7vguy5t2gsnq9nrwzmmyryv7grzsf,wallet
Binance,bc1qjaft297lglw3u7acyhr07p5xurfyk66kfhx2th,wallet
Binance,bc1qgs4guj6f6qd8y86s7fcxrjwlata8r7j97mqgj3,wallet
Binance,bc1qeg5uxhzlg0t3t23lh4n3ydxh9kz5lx6kln5w8r,wallet
Binance,bc1qfzca0kmfsmcga98fcruk3sn5ep4phe7cxkeqnu,wallet
Binance,bc1qu30th5d6p0ktvgqlxv78yz6tv6euwqped6au8s,wallet
Binance,bc1qyzdw0tw84enk93yw7pz3m2u0fjxl9dp6v8klcd,wallet
Binance,bc1qtvj9lejajxwa8u7034036qruqmd4vdl8fa0ql0,wallet
Binance,bc1qf6f2ydl8dm0dwvpns0wfjvn2vzevykyequuf8r,wallet
Binance,bc1qnmyu4v3zffefghgx3k62aldmtqtlzdn7vz93yd,wallet
Binance,bc1qq68e6f0c9rda5a76h3d4r6mrxcnxny6kg8p7tt,wallet
Binance,bc1q59scxc9xzcq48vaplvene5vrednsvex96l6u9s,wallet
Binance,bc1q5qftr6ej264ey2srky006kx62wfjlaj0qnahf4,wallet
Binance,bc1q8t30r89j5eav8vx9w3rumqwmc8drsz00lnxxa2,wallet
Binance,bc1qde85knpn9p937u5d82s4mzckva5emrqu2gukn3,wallet
Binance,bc1qupr2e3npjwh0khv93gqc49qlsgdycrr92c6a4p,wallet
Binance,bc1q2n9y04g8an9t8wycptv0kajnt7zzcqhqfy9g0m,wallet
Binance,bc1q4meds6dupclcv3tksplzsf809rcxm6snlc232k,wallet
Binance,bc1q7usxuxuclzu5qp9thv8x88506xh8hrfc4qft2c,wallet
Binance,bc1q7z5ta9jqyyjdm0nfngwejeemst0yrhqwsrs7yn,wallet
Binance,bc1qd4revpqput9hp98083zqsq6dvhkhenzyl9jnjd,wallet
Binance,bc1qvfag9anytjyl8s66ed6g49aw6s79lzn30u46vt,wallet
Binance,bc1q00slvcvu9xqr2qxmm4j4musnlu824f6e2d7hs3,wallet
Binance,bc1qvfzrk824yqaywpeez0rzv2lf5vne9dpz2pdx7q,wallet
Binance,bc1qns5wfv0nqurl4wlveh8jwv9zxukple96pvp62h,wallet
Binance,bc1qzlgt9gh502a5cj74qedaj472w5van8dg5duurw,wallet
Binance,bc1q2a6sc950lg6cfrcnh4e0rktjqgcjplumkgv6p7,wallet
Binance,bc1qx7qt70g56uad80nem0gwaxfrw3zv4pckwav9pm,wallet
Binance,bc1q6hwtc0enm57vp0wekh6dvfsfl8qd26v0spu4jx,wallet
Binance,bc1q6pnwh6dnsshkxx3rr5veewyenre43ayrgc3ju9,wallet
Binance,bc1qp95peare2f8yla70m2tdtmtndad7ym766gjlpj,wallet
Binance,bc1qy9ezdlch3g70vcesjfg6ma2knfhpxumlm8j0ec,wallet
Binance,bc1q9tmhvgfkezpcphgq89vugqa7z49d570dh45r68,wallet
Binance,bc1qad3d95ddk8gxm48gp5gwzl0mtfw5d97j72ypj8,wallet
Binance,bc1qy6j7cwyrfr9kk7xnwswhr6y6j66hk8dj9yudd5,wallet
Binance,bc1q0h5psw9uhlrkfush6z9zyxw4qw6knycauj5qkc,wallet
Binance,bc1q0j95ea4flphsf395fv32vgxhshwnsl5fhsylka,wallet
Binance,bc1q8hfgtqwe2pqlrwwnr6qu8kfadc2l6e6s3eu82p,wallet
Binance,bc1q9k50tmcvymxh03eal5mm7lxmu8e7la2v5h32uq,wallet
Binance,bc1qk2vhacm5trncrdccyvuzx6uwr2cyxuufwjsddm,wallet
Binance,bc1qfrn2ahur2ukghqnl75cnklavsz2k0hwkrdq9fe,wallet
Binance,bc1qhq7df7tzfqqsajl6l30u7zwk0p08z74s88zfc7,wallet
Binance,bc1qd0xscxpgu0gvdsn5yqahtz03zplaj7qn7rqjas,wallet
Binance,bc1qpwszdkhy65sxff9hf7wcht6e35h9hcr0kmrhzj,wallet
Binance,bc1qk7g2ykxeqtmexhwknnerxnqamk8n9796mh4jc3,wallet
Binance,bc1qqs98t4ezzztanfw49va3c36m2lc3zcqzyq429z,wallet
Binance,bc1qdjlq74adshxsql6d7j9s097epx5m00t22z9nlt,wallet
Binance,bc1qh328tng42q9qaljwxwfyz7k6fyuanmswjd40ys,wallet
Binance,bc1qzrxq5807m9vwm6jvems4phgvzmt8x9apgj0kwk,wallet
Binance,bc1qupn3d6hc4re78946fv7slrvl2etqsqq2lt4yqs,wallet
Binance,bc1qrjxdkhc8jt0lgtk5ecsheag5rwku8vx96z992a,wallet
Binance,bc1q3jsaucjvqvtjj0zrewlq3gr94ay9fw4ptdumvv,wallet
Binance,bc1qugc74sludaq6hwgyc0guc7ddxgvthj66smf0p4,wallet
Binance,bc1q4zsfxk682khnzue5fhlwfz3wqa5dr5uex7qc47,wallet
Binance,bc1qufzphhq7et2dvt5zh2ly7aewhtsex235g9qul5,wallet
Binance,bc1qmh2xm0l0yu5884jpcfu55lskul8nqteyy02c0j,wallet
Binance,bc1qgxp3vtd5vfh02vh5tnqd8q0zp3mkxulq05fxzt,wallet
Binance,bc1q70qz9a8xy05ja7tspqjngf94vsa0sawa6u0cqp,wallet
Binance,bc1qg7elql6fedj9r0l8ht528mwtt0evs7hc7g60ck,wallet
Binance,bc1q3mlqeqzekmmxc9fy0hfugpd6e4sq385gp2wnax,wallet
Binance,bc1qdgw9chdnttezeypgu6gexk949nnag7r43qwkvv,wallet
Binance,bc1qk6pf2al3nlmzmwv8hnep0358xsw8vwcz3ld73x,wallet
Binance,3E7GWs1zEf68dXg7tb5FE21uLRDoF9s4u7,wallet
Binance,bc1q2xcn8yk3vuhe2zjj8tdyjgxa7tvsr73wffdsj8,wallet
Binance,bc1q4f3m75fy8errq64f0l8jrnh5h3p7p2pjvecyem,wallet
Binance,bc1qc8a87fjzgzvehx4qgy2tpj4p030uzxrdvqhm2f,wallet
Binance,bc1qj2kav8ntqkxvth8p2hmpnzkrg7g7n0mz78fa7t,wallet
Binance,bc1qxs87265k7cmm4ansld3geeqs7f4see4ragxyeq,wallet
Binance,bc1qh7kkxr5jsyur5l76nutdh3sxc5u8d75m9ra76l,wallet
Binance,37Btb6sr7vvN7SeFsKGsNyAFTWsmJeVTkh,wallet
Binance,bc1qxk3lqlz7u9fun44mwp7lnw98lem9wh7cdwuem8,wallet
Binance,bc1qptz5u2tvtdmakfsqgf33rtgwv9j4exxup5d2tu,wallet
Binance,bc1qcjnguzmczk3x429yqu9x9n6kxq0ly4ve8p7x2y,wallet
Binance,bc1q4ut4c4n8uuq4fwcps6wmvew5s3p853z4tdqrca,wallet
Binance,bc1qextsla3xuugzlcv0ardayjk6q6g7vvrfdsselm,wallet
Binance,bc1qcn799ezvnzzc6wruqd8apzaxh4q56yfjmyjqya,wallet
Binance,bc1qnuxjt2u2e3a2h44qst2nw54pkk9wwcntvahe34,wallet
Binance,bc1qqhsmf3n58lrajwgg8gc4dda4yr3845km4jjqhu,wallet
Binance,bc1qy6p8y9agxptl9gc3f5eu9mzjsg50vyxk62vuys,wallet
Binance,bc1qz6wlfq0yvjkpkqwushmg5qf0t0xa9ddmpfg77m,wallet
Binance,bc1qgwv2pgvtlr8u58uxacdez98h74qvprh4dfh3eg,wallet
Binance,bc1qrcgsdwynj0s8hut773m3wmszpnrflaa5sfr2um,wallet
Binance,bc1qqpa5k6nhve57st295jptc3y8pnjwtvujvnczrd,wallet
Binance,bc1q2qscxtz3dyw95ju25x6qepr7c9dac0cp76plnn,wallet
Binance,bc1q9s3jj7jveed7xg7ugyeuttsh8efa3u5a9drk7z,wallet
Binance,bc1qfam8smpva6mddynv7mxuku9vrrcp50rh2z29zu,wallet
Binance,bc1qfytfm4p780jh28474ytt9y84prjgkutupfdq78,wallet
Binance,bc1qfenlq3ga4tx0p99w7nvj87ngqg29zm9kqh7a5j,wallet
Binance,bc1qlq378chf6j4cuqm2armc6uqtr9etgq6ac34dlr,wallet
Binance,bc1q98v2lqglrgd4t9ns0qlm27c7ftv3vcpetm6snv,wallet
Binance,bc1q4fcrdgsat8e99pn2k8qffvjq48nh0v0vh2lqjg,wallet
Binance,bc1qnpkks53jv5jcqv7y6wqj7036ljfm47kft6vavz,wallet
Binance,bc1qwn3ltrjz0vnju8k2u3k62zkczusv7r4j0uxu5v,wallet
Binance,bc1qjmrszef6sx4sw0hne7qjukzwvecfcmp0kw7fjh,wallet
Binance,bc1q4jt2a47vdq533kfmhx3kfweelgvy9ze4gmqawm,wallet
Binance,bc1qj8n97r6kqk8hzu5fcrpmnuwht6gpy8jysnjhpq,wallet
Binance,bc1qjngrr4ka8etqtsx5k63d66fd4htvhv6hrepx0w,wallet
Binance,bc1qf085ehxleveapcrtqmdzfns8nwq8fvntjpswyj,wallet
Binance,bc1qsr09uve8k7t3zpgj96pdad7e0sewn75n5h6ee2,wallet
Binance,bc1q4pxd23xguf2hy38a96ykyzzhvnwnxzf28ucw9y,wallet
Binance,bc1q08wpfprd8nhlpjl6eyd6rplsdyllma7p9qq2xx,wallet
